preco,rua,endereco,quartos,banheiros,area_m2,link,cidade,estado,data_coleta
R$ 2.300.000,Rua João Silvio de Lara Machado,"Sobrado para comprar com 354 m², 4 quartos, 5 banheiros, 2 vagas emJardim Carvalho, Ponta Grossa",4.0,5.0,354.0,https://www.zapimoveis.com.br/imovel/venda-sobrados-4-quartos-mobiliado-jardim-carvalho-ponta-grossa-pr-354m2-id-2744309367/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 2.994.975,Rua Visconde de Baraúna,"Lote/Terreno para comprar com 3524 m² emJardim Carvalho, Ponta Grossa",,,3524.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-pr-3524m2-id-2846848168/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 310.000,Rua Jaguapitã,"Lote/Terreno para comprar com 40 m² emBoa Vista, Ponta Grossa",,,40.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-boa-vista-ponta-grossa-pr-40m2-id-2861561958/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 350.000,Rua Luiz Migdalski,"Casa de condomínio para comprar com 165 m², 4 quartos, 3 banheiros emEstrela, Ponta Grossa",4.0,3.0,165.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-churrasqueira-estrela-ponta-grossa-165m2-id-2866908876/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 202.696,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2826793022/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 340.000,Rua Capitão Goes de Moraes,"Casa de condomínio para comprar com 80 m², 3 quartos, 2 banheiros, 1 vaga emOficinas, Ponta Grossa",3.0,2.0,80.0,https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-oficinas-ponta-grossa-80m2-id-2866552961/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 145.000,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2857545555/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 145.000,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2857545556/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 360.556,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 310 m² emJardim Carvalho, Ponta Grossa",,,310.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-310m2-id-2825649126/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 347.043,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 318 m² emContorno, Ponta Grossa",,,318.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-318m2-id-2825645790/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 202.696,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 200 m² emContorno, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-200m2-id-2826514226/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 342.795,Rua Eduardo Burgardt,"Lote/Terreno para comprar com 300 m² emContorno, Ponta Grossa",,,300.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-contorno-ponta-grossa-300m2-id-2823112719/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 219.852,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2825647168/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
R$ 218.094,Avenida Monteiro Lobato,"Lote/Terreno para comprar com 200 m² emJardim Carvalho, Ponta Grossa",,,200.0,https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-carvalho-ponta-grossa-200m2-id-2825646797/?source=ranking%2Crp,ponta-grossa,pr,2026-02-09 08:28:42
